"id","identifiantUnique","publication","titre","identifiantChaine","nomCanal","identifiantCategorie","dureeEnSecondes","statutTelechargement","statuConfidentialite","approprieEnfant","nombreVues","nombreJaime","actif"
1292,"1oFgXaMRGuM","2024-04-01 13:29:00","He's FRENCH! 🇫🇷 #cats #funnycats #cute","UCheL-cUqfzUB8dfM_rFOfDQ","Jackson Galaxy",15,11,"processed","public",0,93440,14214,1
36677,"PzE1MBbzxCc","2024-04-07 07:31:29","snake X centipede","UCL1dXSgdTXqIL3qsX4bUmLg","GANCET WILD",15,11,"processed","public",0,4594490,16764,1
36616,"XDYYOQGEbL4","2024-04-01 10:35:45","Love Baby Gorilla #gorillatag #gorilla #gorillababy #gorillatagfun #gorillaz #wildlife","UCmaab48XmPX_09WyBAZuCcQ","Farms2day",15,11,"processed","public",0,22500284,92249,1
1147,"UIz3FYxvL6w","2024-03-16 09:16:57","Funny dog video 🐶❤😈 #cutepuppy #doglover #viral","UCngiqpQadPzoVq3-xiHkhtg","Aura - The Fawn Beauty",15,11,"processed","public",0,90310407,512256,1
735,"OsYuVJYM8eU","2024-04-01 22:04:33","Getting into the swing of things 🙃🥅","UCqFMzb-4AUf6WAIbl132QKA","NHL",17,11,"processed","public",0,109319,4501,1
765,"l1Bdmsr9bZQ","2024-03-31 11:15:02","The man knows his tee placements.. 🤣","UCCxF55adGXOscJ3L8qdKnrQ","Bryson DeChambeau",17,11,"processed","public",0,267084,6357,1
908,"gfXLDeY-DCI","2024-03-21 06:40:00","The most popular sport 😯 #Shorts","UCJHfOaudd1NxxBfih-8WUmw","Jed Hockin",17,11,"processed","public",0,2421356,235684,1
792,"qcZBnAoSWg4","2024-03-18 19:00:47","Mamba was locked in #shorts","UCja8sZ2T4ylIqjggA1Zuukg","CBS Sports",17,11,"processed","public",0,3052200,108625,1
1883,"CEUBuUJ_i9E","2024-03-26 13:10:00","MORNING WORKOUT","UC2fNZo6AP5nSeBmRRg3-UoQ","flowina paradise",17,11,"processed","public",0,5056884,116328,1
744,"uqgCTggc3Wo","2024-03-24 12:00:41","This looks wild 😯 (via pat.puente/IG) #shorts","UCiWLfSweyRNmLpgEHekhoAg","ESPN",17,11,"processed","public",0,5362956,237099,1
36548,"gUXJq7XFaow","2024-03-27 21:07:37","WHO WANTS TO SEE RESULTS? #spinchallenge @happykelli","UCQy81Ldzzne0JoDzdo9FaGg","Crissa Jackson",19,11,"processed","public",0,4471112,85533,1
33022,"kvT9cXbZTS4","2024-04-04 15:00:30","“Pack it up boys”ah bunker😭Use code:KQDEE in the item shop❤️#fortnite #gaming #og #fnclip #fort #fn","UCqd4rEUfHA5suS7rci1BEBg","srtkqdee",20,11,"processed","public",0,142685,9157,1
1305,"_66Gq-azQ3w","2024-03-27 10:56:04","they judge me for being an influencer😭😭 #shorts","UCX_Xoi9juiuApYvJMWN244A","Maria Kuka",22,11,"processed","public",0,94799,1212,1
35614,"NHPYgRvBLoo","2024-04-05 11:07:41","Subscribe for more!! #procreate #logoanimation #roblox","UCRsF1uC_GVqMwi_CGSEt7Qg","Animations by danny ",22,11,"processed","public",0,425797,26621,1
34710,"3zUL2DEH9lk","2024-04-04 09:09:08","I PROMISE WE TRIED OUR BEST OK😭","UCeh44cU7acoaL_9IK2D9jKw","Julie and Camilla",22,11,"processed","public",0,666756,51848,1
34426,"sOv5mE2v9Lc","2024-04-02 15:23:02","Happy late April fools day! 😝🤣 #fypシ #viral #funny #relatable #single","UCHLBKw7-dpAPAXXK2yA-bCA","JUSTJULES💖",22,11,"processed","public",0,1002963,64984,1
1132,"H3jiKvoQSsk","2024-03-26 12:00:13","I‘m in Spain without the S 🥲😭🤠 #age #trend #girl","UCbiJrj6eoDzv1uF4whGFVIA","nadinebreaty",22,11,"processed","public",0,1184768,44887,1
1818,"aTz67xyuDbI","2024-04-01 20:22:27","I miss the old kanye","UCAXEGk-l_ioBMvHa9_uHJjg","A&B Things",22,11,"processed","public",0,1324531,84047,1
34678,"1hqbaTnk8ts","2024-04-02 16:27:27","A literal SHELF for my bag ru kidding me","UC48uAk38oAP3N8XiX_U5Idg","Liz Seibert",22,11,"processed","public",0,1371469,108065,1
35849,"x47JG7-vLKE","2024-04-03 20:19:53","This boyfriend engraved our cuff bracelet 🤯","UCrnEQK7k2LpaVBYBSLPlPkw","LoveYours",22,11,"processed","public",0,1500462,85916,1
36745,"5wI8SKSEckY","2024-04-13 21:00:04","wait that’s actually insane 😭😭🤚🏼 #viral #funny #funnyvideos #couple #relationship","UCh5A62uLT7VSPkO-Qc_QTdg","Jalessa & Jaden",22,11,"processed","public",0,1914883,135996,1
36716,"bsksApKmcno","2024-04-12 16:01:36","It’s that simple #dogs #dogcomedy #dating","UCMh3v4KOrtoDKziO9d2qAHg","Agirlandadoodle",22,11,"processed","public",0,1959016,79060,1
34290,"FcQUTFZjSPo","2024-04-02 11:00:10","Upsi😭⁉️💕 @freddisson #trend #friends #fight","UCbiJrj6eoDzv1uF4whGFVIA","nadinebreaty",22,11,"processed","public",0,2414381,179727,1
1008,"x3pEbrFJlGA","2024-03-21 20:25:31","HOW TO GET OUT OF PAYING FOR PARKING 🫣🤣","UC9PfekKMDzLt_tkragAeACw","The One Shu",22,11,"processed","public",0,2425706,109966,1
1138,"uQlS6ZqQ4Sc","2024-03-25 11:56:18","Baboon hides his cubs from hyena","UCN-hkm6guZiXM6filTXN21Q","Gancet World",22,11,"processed","public",0,9737197,95285,1
36807,"PJuKQSfG6i4","2024-04-06 16:08:44","The girl's violent reaction to my PRANK..WHY? 🤦🏻‍♀️ LA ELVÍRA #kawaii #shorts","UCeKhznqeLcRFHqRXpcu3w3g","LA ELVÍRA",22,11,"processed","public",0,17436353,194637,1
1236,"kinD-R1v3Bg","2024-03-03 05:49:42","Chase lion in to forest,#shorts","UCYFEI0S2AJDT4lVLyufp1gw","Travel and natural",22,11,"processed","public",0,23899230,159802,1
